!*  ATLAS 8 TeV W⁺+jets
&DATA
  Name = 'ATLAS 8 TeV $W^+$ +jets jet 1 rap'
  Reaction  = 'CC pp'
  
  NDATA = 41
  NColumn = 98
  ColumnType = 'Flag',2*'Bin', 'Sigma',94*'Error'
  ColumnName = 'binFlag','jet1_rap1','jet1_rap2','Sigma','stat const','QCDfitUncert uncor const','UnfoldMCstat uncor const','BkgMCstat uncor const','JetScaleEff1+','JetScaleEff1-','JetScaleEff2+','JetScaleEff2-','JetScaleEff3+','JetScaleEff3-','JetScaleEff4+','JetScaleEff4-','JetScaleEff5+','JetScaleEff5-','JetScaleEff6+','JetScaleEff6-','JetScaleEta1+','JetScaleEta1-','JetScaleEta2+','JetScaleEta2-','JetScaleHighPt+','JetScaleHighPt-','JetScaleMC+','JetScaleMC-','JetScalePileup1+','JetScalePileup1-','JetScalePileup2+','JetScalePileup2-','JetScalePileup3+','JetScalePileup3-','JetScalePileup4+','JetScalePileup4-','JetScaleFlav1Known+','JetScaleFlav1Known-','JetScaleFlav2+','JetScaleFlav2-','JetScaleBjet+','JetScaleBjet-','JetScalepunchT+','JetScalepunchT-','JetResolution10','JetSFBeff+','JetSFBeff-','JetSFCeff+','JetSFCeff-','JetSFLmistag+','JetSFLmistag-','JetSFHighPt+','JetSFHighPt-','JetJVFcut+','JetJVFcut-','ElScaleR12+','ElScaleR12-','ElScaleZee+','ElScaleZee-','ElScalePS+','ElScalePS-','ElResolution','ElSFReco+','ElSFReco-','ElSFId+','ElSFId-','ElSFTrigger+','ElSFTrigger-','ElSFIso+','ElSFIso-','ElSFChargeMisID+','ElSFChargeMisID-','METScale+','METScale-','METResLong','METResTrans','PileupWeight+','PileupWeight-','QCDlowRange+','QCDlowRange-','QCDhighRange+','QCDhighRange-','QCDvarIso','QCDvarElID','QCDotherGen','QCDfitRebin','XsecZ+','XsecZ-','XsecTop+','XsecTop-','XsecDibos+','XsecDibos-','BkgTtbarNorm','WHFmodel','LumiUncert+','LumiUncert-','UnfoldOtherGen','UnfoldReweight'
  
  NInfo   = 4
  DataInfo = 8000., 1, 25, 25
  CInfo    = 'sqrt(S)','e charge','pte cut', 'ptnu cut'
  
  IndexDataset = 143 
  TheoryType = 'expression'
  TermName = 'A','NPC','EWC'
  TermType = 'reaction','reaction','reaction'
  TermSource = 'fastNLO','KFactor','KFactor'
  TermInfo = 'Filename=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_NNLO.abs_yj1.tab:Units=publication:ScaleFacMuR=1.0:ScaleFacMuF=1.0',
             'FileName=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_NPC_absyj1.dat:FileColumn=3',
             'FileName=datafiles/lhc/atlas/wPlusJets/1711.03296/Wplus_EWC_absyj1.dat:FileColumn=3'
  TheorExpr= 'A*NPC*EWC'
  Percent  = 94*True
&END 
&PlotDesc
  PlotN = 1
  PlotDefColumn = 'jet1_rap2'
  PlotDefValue = 0., 2.5
  PlotOptions(1)  = 'Experiment:ATLAS@ExtraLabel:pp #rightarrow W^{+}+jet; #sqrt{s} = 8 TeV @Title:2012 @XTitle: |y^{jet1}| @YTitle: d#sigma/d|y^{jet1}| [fb] @Ylog'
&End
* binFlag	jet1_rap1	jet1_rap2	Sigma	stat_const	QCDfitUncert_uncor_const	UnfoldMCstat_uncor_const	BkgMCstat_uncor_const	JetScaleEff1+	JetScaleEff1-	JetScaleEff2+	JetScaleEff2-	JetScaleEff3+	JetScaleEff3-	JetScaleEff4+	JetScaleEff4-	JetScaleEff5+	JetScaleEff5-	JetScaleEff6+	JetScaleEff6-	JetScaleEta1+	JetScaleEta1-	JetScaleEta2+	JetScaleEta2-	JetScaleHighPt+	JetScaleHighPt-	JetScaleMC+	JetScaleMC-	JetScalePileup1+	JetScalePileup1-	JetScalePileup2+	JetScalePileup2-	JetScalePileup3+	JetScalePileup3-	JetScalePileup4+	JetScalePileup4-	JetScaleFlav1Known+	JetScaleFlav1Known-	JetScaleFlav2+	JetScaleFlav2-	JetScaleBjet+	JetScaleBjet-	JetScalepunchT+	JetScalepunchT-	JetResolution10	JetSFBeff+	JetSFBeff-	JetSFCeff+	JetSFCeff-	JetSFLmistag+	JetSFLmistag-	JetSFHighPt+	JetSFHighPt-	JetJVFcut+	JetJVFcut-	ElScaleR12+	ElScaleR12-	ElScaleZee+	ElScaleZee-	ElScalePS+	ElScalePS-	ElResolution	ElSFReco+	ElSFReco-	ElSFId+	ElSFId-	ElSFTrigger+	ElSFTrigger-	ElSFIso+	ElSFIso-	ElSFChargeMisID+	ElSFChargeMisID-	METScale+	METScale-	METResLong	METResTrans	PileupWeight+	PileupWeight-	QCDlowRange+	QCDlowRange-	QCDhighRange+	QCDhighRange-	QCDvarIso	QCDvarElID	QCDotherGen	QCDfitRebin	XsecZ+	XsecZ-	XsecTop+	XsecTop-	XsecDibos+	XsecDibos-	BkgTtbarNorm	WHFmodel	LumiUncert+	LumiUncert-	UnfoldOtherGen	UnfoldReweight
1	  1	     1.2  129795.949015	0.176776695296637	0.0777817459305202	0.236907154809643	0.095524865872714	3.275	-3.465	-0.66	0.675	0.01	0	0.21	-0.21	-0.12	0.13	0.215	-0.23	0.735	-0.72	0.785	-0.775	0.01	0.01	0.01	0.01	-0.05	0.08	-0.11	0.12	0.13	-0.13	2.065	-2.135	0.715	-0.705	-2.625	2.505	0.01	0	0.01	0.01	4.36	-0.29	0.32	-0.1	0.145	-0.155	0.165	0.01	0.01	-0.865	0.415	0.07	-0.07	0.79	-0.89	-0.01	0.01	-0.1	0.25	-0.25	0.785	-0.79	0.545	-0.56	0.185	-0.19	0	0	-1.115	1.13	-1.025	-0.99	0.135	-0.12	-0.08	0.62	0.07	-0.07	-0.08	0.38	0.11	-0.01	-0.11	0.11	0.135	-0.14	0.04	-0.04	-0.12	-0.115	0.13	-0.13	2.335	0
1 	1.2 	 1.3 	128115.46104 	0.25 	0.11 	-0.34 	-0.13 	3.44 	-3.41 	-0.64 	0.71 	0.01 	-0.00 	0.21 	-0.21 	-0.12 	0.13 	0.23 	-0.23 	1.00 	-1.00 	0.78 	-0.75 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.13 	-0.13 	2.18 	-2.09 	0.80 	-0.70 	-2.66 	2.70 	0.01 	0.00 	0.01 	0.01 	7.26 	-0.28 	0.31 	-0.10 	0.11 	-0.16 	0.17 	0.01 	0.01 	-0.91 	0.47 	0.07 	-0.07 	0.84 	-0.84 	-0.01 	0.01 	-0.10 	0.25 	-0.25 	0.79 	-0.78 	0.56 	-0.56 	0.19 	-0.19 	0.00 	0.00 	-1.13 	1.16 	-1.02 	-1.01 	0.17 	-0.12 	-0.08 	0.63 	0.07 	-0.07 	-0.08 	0.43 	0.11 	-0.01 	-0.13 	0.12 	0.13 	-0.13 	0.04 	-0.04 	-0.11 	-0.16 	0.12 	-0.12 	2.95 	0.00 	
1 	1.3 	 1.4 	127433.64004 	0.25 	0.12 	-0.36 	-0.14 	3.35 	-3.31 	-0.65 	0.70 	0.01 	-0.00 	0.21 	-0.22 	-0.12 	0.14 	0.23 	-0.24 	1.23 	-1.19 	0.82 	-0.81 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.13 	2.11 	-2.14 	0.82 	-0.78 	-2.72 	2.70 	0.01 	0.00 	0.01 	0.01 	7.28 	-0.27 	0.31 	-0.10 	0.11 	-0.16 	0.17 	0.01 	0.01 	-0.78 	0.38 	0.07 	-0.07 	0.61 	-0.57 	-0.01 	0.01 	-0.10 	0.27 	-0.25 	0.82 	-0.76 	0.57 	-0.55 	0.19 	-0.19 	0.00 	0.00 	-1.29 	1.37 	-1.06 	-1.16 	0.17 	-0.12 	-0.08 	0.62 	0.07 	-0.07 	-0.08 	0.36 	0.10 	-0.01 	-0.05 	0.05 	0.13 	-0.13 	0.04 	-0.04 	-0.11 	-0.07 	0.15 	-0.15 	3.64 	0.00 	
1 	1.4 	 1.5 	120172.35192 	0.27 	0.12 	-0.35 	-0.17 	3.43 	-3.68 	-0.74 	0.71 	0.01 	-0.00 	0.21 	-0.22 	-0.14 	0.14 	0.23 	-0.24 	1.55 	-1.59 	0.89 	-0.93 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.16 	2.19 	-2.31 	0.87 	-0.90 	-3.09 	2.85 	0.01 	0.00 	0.01 	0.01 	6.19 	-0.27 	0.30 	-0.10 	0.11 	-0.16 	0.17 	0.01 	0.01 	-0.78 	0.38 	0.07 	-0.07 	0.61 	-0.57 	-0.01 	0.01 	-0.10 	0.27 	-0.25 	0.85 	-0.84 	0.61 	-0.62 	0.19 	-0.19 	0.00 	0.00 	-1.94 	1.95 	-1.90 	-1.88 	0.17 	-0.12 	-0.08 	0.63 	0.07 	-0.07 	-0.08 	0.36 	0.11 	-0.01 	0.26 	-0.26 	0.13 	-0.13 	0.05 	-0.05 	-0.11 	-0.15 	0.27 	-0.27 	2.53 	0.00 	
1 	1.5 	 1.6 	110586.24341 	0.28 	0.12 	-0.36 	-0.16 	3.57 	-3.63 	-0.67 	0.69 	0.01 	-0.00 	0.21 	-0.22 	-0.14 	0.14 	0.22 	-0.24 	1.60 	-1.68 	0.90 	-0.91 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.16 	2.23 	-2.26 	0.83 	-0.80 	-2.91 	2.86 	0.01 	0.00 	0.01 	0.01 	6.17 	-0.27 	0.30 	-0.10 	0.11 	-0.16 	0.17 	0.01 	0.01 	-0.77 	0.43 	0.07 	-0.07 	0.69 	-0.68 	-0.01 	0.01 	-0.10 	0.27 	-0.25 	0.82 	-0.83 	0.61 	-0.62 	0.19 	-0.19 	0.00 	0.00 	-1.52 	1.55 	-1.30 	-1.32 	0.17 	-0.17 	-0.08 	0.65 	0.07 	-0.07 	-0.08 	0.51 	0.11 	-0.01 	0.04 	-0.04 	0.13 	-0.13 	0.05 	-0.05 	-0.11 	-0.13 	0.19 	-0.19 	2.19 	0.00 	
1 	1.6 	 1.7 	100529.16740 	0.29 	0.12 	-0.37 	-0.16 	3.37 	-3.35 	-0.68 	0.64 	0.01 	-0.00 	0.21 	-0.22 	-0.14 	0.14 	0.22 	-0.24 	1.79 	-1.73 	0.90 	-0.88 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.16 	2.16 	-2.12 	0.74 	-0.75 	-2.59 	2.61 	0.01 	0.00 	0.01 	0.01 	6.83 	-0.23 	0.30 	-0.10 	0.11 	-0.16 	0.17 	0.01 	0.01 	-0.81 	0.43 	0.07 	-0.07 	0.96 	-0.94 	-0.01 	0.01 	-0.10 	0.27 	-0.26 	0.80 	-0.82 	0.59 	-0.61 	0.19 	-0.19 	0.00 	0.00 	-1.20 	1.32 	-1.05 	-1.03 	0.17 	-0.17 	-0.08 	0.65 	0.07 	-0.07 	-0.08 	0.68 	0.11 	-0.01 	-0.10 	0.10 	0.13 	-0.13 	0.05 	-0.05 	-0.11 	-0.09 	0.14 	-0.14 	3.22 	0.00 	
1 	1.7 	 1.8 	95648.80695 	0.30 	0.12 	-0.38 	-0.16 	3.22 	-3.43 	-0.64 	0.62 	0.01 	-0.00 	0.19 	-0.22 	-0.14 	0.14 	0.22 	-0.20 	1.78 	-2.01 	0.82 	-0.89 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.16 	1.96 	-2.21 	0.62 	-0.67 	-2.57 	2.37 	0.01 	0.00 	0.01 	0.01 	6.58 	-0.23 	0.25 	-0.10 	0.11 	-0.16 	0.14 	0.01 	0.01 	-0.73 	0.43 	0.07 	-0.07 	0.85 	-1.00 	-0.01 	0.01 	-0.10 	0.27 	-0.26 	0.80 	-0.84 	0.62 	-0.64 	0.19 	-0.19 	0.00 	0.00 	-1.26 	1.21 	-1.08 	-1.06 	0.17 	-0.17 	-0.08 	0.66 	0.07 	-0.07 	-0.08 	0.63 	0.11 	-0.02 	-0.11 	0.11 	0.13 	-0.13 	0.05 	-0.05 	-0.10 	-0.06 	0.14 	-0.14 	3.74 	0.00 	
1 	1.8 	 1.9 	92425.90057 	0.31 	0.11 	-0.39 	-0.16 	3.34 	-3.50 	-0.68 	0.70 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.22 	-0.20 	2.00 	-2.12 	0.87 	-0.90 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.11 	0.17 	0.14 	-0.16 	2.16 	-2.17 	0.69 	-0.70 	-2.48 	2.46 	0.01 	0.00 	0.01 	0.01 	6.17 	-0.23 	0.25 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.71 	0.43 	0.07 	-0.07 	0.92 	-0.92 	-0.01 	0.01 	-0.10 	0.27 	-0.26 	0.86 	-0.79 	0.64 	-0.61 	0.19 	-0.18 	0.00 	0.00 	-1.19 	1.25 	-1.03 	-1.05 	0.22 	-0.17 	-0.07 	0.67 	0.07 	-0.08 	-0.08 	0.61 	0.12 	-0.02 	-0.11 	0.11 	0.12 	-0.12 	0.05 	-0.05 	-0.10 	-0.14 	0.14 	-0.14 	1.84 	0.00 	
1 	1.9 	 2.0 	87657.88889 	0.32 	0.12 	-0.42 	-0.16 	3.15 	-3.33 	-0.67 	0.65 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.22 	-0.20 	1.98 	-2.09 	0.84 	-0.83 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.36 	0.17 	0.14 	-0.16 	2.03 	-2.12 	0.62 	-0.64 	-2.34 	2.26 	0.01 	0.00 	0.01 	0.01 	5.93 	-0.23 	0.25 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.72 	0.15 	0.07 	-0.07 	0.93 	-0.94 	-0.01 	0.01 	-0.10 	0.26 	-0.26 	0.82 	-0.85 	0.66 	-0.66 	0.19 	-0.18 	0.00 	0.00 	-1.28 	1.23 	-1.05 	-1.06 	0.22 	-0.17 	-0.08 	0.69 	0.07 	-0.08 	-0.08 	0.65 	0.12 	-0.02 	-0.11 	0.11 	0.12 	-0.12 	0.05 	-0.05 	-0.09 	-0.08 	0.14 	-0.14 	3.35 	0.00 	
1 	2.0 	 2.1 	84959.88336 	0.33 	0.12 	-0.43 	-0.19 	3.39 	-3.17 	-0.54 	0.61 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.22 	-0.20 	2.14 	-1.95 	0.83 	-0.73 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.36 	0.54 	0.14 	-0.16 	2.06 	-1.99 	0.52 	-0.55 	-2.17 	2.34 	0.01 	0.00 	0.01 	0.01 	6.73 	-0.23 	0.25 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.91 	-0.99 	-0.01 	0.01 	-0.10 	0.26 	-0.28 	0.82 	-0.86 	0.63 	-0.67 	0.19 	-0.18 	0.00 	0.00 	-1.34 	1.20 	-1.10 	-1.19 	0.22 	-0.17 	-0.08 	0.69 	0.08 	-0.08 	-0.08 	0.63 	0.12 	-0.02 	-0.12 	0.12 	0.11 	-0.12 	0.05 	-0.05 	-0.09 	0.05 	0.13 	-0.13 	3.64 	0.00 	
1 	2.1 	 2.2 	78440.55885 	0.34 	0.12 	-0.45 	-0.18 	3.25 	-3.45 	-0.66 	0.74 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.25 	-0.20 	2.17 	-2.30 	0.93 	-0.81 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.77 	0.88 	0.14 	-0.16 	2.08 	-2.19 	0.67 	-0.57 	-2.44 	2.33 	0.01 	0.00 	0.01 	0.01 	5.26 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.89 	-1.00 	-0.01 	0.01 	-0.10 	0.26 	-0.28 	0.84 	-0.81 	0.62 	-0.66 	0.19 	-0.18 	0.00 	0.00 	-1.23 	1.29 	-1.03 	-1.10 	0.22 	-0.17 	-0.08 	0.72 	0.08 	-0.08 	-0.08 	0.75 	0.12 	-0.02 	-0.14 	0.14 	0.11 	-0.11 	0.05 	-0.05 	-0.08 	0.07 	0.12 	-0.12 	4.80 	0.00 	
1 	2.2 	 2.3 	70679.10976 	0.36 	0.13 	-0.49 	-0.18 	3.41 	-3.61 	-0.69 	0.67 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.25 	-0.20 	2.27 	-2.42 	0.85 	-0.91 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.96 	1.12 	0.14 	-0.16 	2.19 	-2.34 	0.56 	-0.63 	-2.58 	2.44 	0.01 	0.00 	0.01 	0.01 	5.04 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.88 	-0.99 	-0.01 	0.01 	-0.10 	0.26 	-0.28 	0.83 	-0.85 	0.65 	-0.66 	0.19 	-0.18 	0.00 	0.00 	-1.35 	1.35 	-1.24 	-1.22 	0.22 	-0.17 	-0.08 	0.75 	0.08 	-0.09 	-0.08 	0.59 	0.14 	-0.02 	-0.14 	0.14 	0.11 	-0.11 	0.05 	-0.05 	-0.08 	0.02 	0.13 	-0.13 	4.21 	0.00 	
1 	2.3 	 2.4 	66723.00429 	0.36 	0.12 	-0.54 	-0.19 	3.26 	-3.32 	-0.68 	0.60 	0.01 	-0.00 	0.19 	-0.20 	-0.14 	0.14 	0.25 	-0.20 	2.09 	-2.20 	0.79 	-0.88 	0.01 	0.01 	0.01 	0.01 	-0.05 	0.08 	-0.97 	0.90 	0.14 	-0.16 	2.06 	-2.18 	0.56 	-0.67 	-2.37 	2.25 	0.01 	0.00 	0.01 	0.01 	5.36 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.86 	-1.06 	-0.01 	0.01 	-0.10 	0.26 	-0.28 	0.81 	-0.84 	0.62 	-0.69 	0.19 	-0.18 	0.00 	0.00 	-1.33 	1.23 	-1.28 	-1.16 	0.22 	-0.17 	-0.07 	0.70 	0.08 	-0.08 	-0.08 	0.65 	0.12 	-0.02 	-0.12 	0.12 	0.11 	-0.11 	0.05 	-0.05 	-0.08 	0.01 	0.12 	-0.12 	5.18 	0.00 	
1 	2.4 	 2.5 	59477.12040 	0.34 	0.13 	-0.51 	-0.21 	5.03 	-5.09 	-1.12 	1.04 	0.01 	-0.00 	0.25 	-0.20 	-0.14 	0.14 	0.25 	-0.35 	3.13 	-3.11 	1.40 	-1.39 	0.01 	0.01 	0.01 	0.01 	0.58 	0.08 	-0.93 	1.42 	0.14 	-0.27 	3.38 	-3.11 	1.05 	-0.91 	-3.36 	3.62 	0.01 	0.00 	0.01 	0.01 	9.87 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.96 	-0.88 	-0.01 	0.01 	-0.10 	0.28 	-0.27 	0.90 	-0.80 	0.70 	-0.62 	0.19 	-0.18 	0.00 	0.00 	-1.43 	1.52 	-1.17 	-1.18 	1.36 	-1.19 	-0.08 	0.73 	0.08 	-0.08 	-0.08 	0.58 	0.12 	-0.02 	-0.06 	0.06 	0.11 	-0.11 	0.04 	-0.04 	-0.08 	-0.35 	0.15 	-0.15 	8.16 	0.00 	
1 	2.5 	 2.6 	52731.52286 	0.36 	0.12 	-0.53 	-0.24 	5.20 	-5.70 	-1.13 	1.19 	0.01 	-0.00 	0.25 	-0.28 	-0.14 	0.22 	0.25 	-0.35 	3.49 	-3.67 	1.48 	-1.51 	0.01 	0.01 	0.01 	0.01 	0.56 	-0.45 	-1.20 	1.44 	0.27 	-0.27 	3.56 	-3.58 	1.04 	-1.00 	-3.88 	3.77 	0.01 	0.00 	0.01 	0.01 	10.85 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.99 	-1.05 	-0.01 	0.01 	-0.10 	0.28 	-0.27 	0.88 	-0.83 	0.72 	-0.68 	0.19 	-0.18 	0.00 	0.00 	-2.02 	2.12 	-1.50 	-1.90 	1.16 	-1.02 	-0.08 	0.71 	0.08 	-0.08 	-0.08 	0.67 	0.11 	-0.02 	0.18 	-0.18 	0.12 	-0.12 	0.05 	-0.05 	-0.08 	-0.52 	0.25 	-0.25 	3.92 	0.00 	
1 	2.6 	 2.7 	47784.70521 	0.37 	0.13 	-0.56 	-0.24 	5.12 	-5.71 	-1.15 	1.27 	0.01 	-0.00 	0.25 	-0.28 	-0.14 	0.22 	0.32 	-0.35 	3.36 	-3.61 	1.66 	-1.56 	0.01 	0.01 	0.01 	0.01 	0.56 	-0.45 	-1.14 	1.50 	0.27 	-0.27 	3.42 	-3.68 	1.15 	-1.02 	-4.11 	3.75 	0.01 	0.00 	0.01 	0.01 	10.98 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.97 	-1.03 	-0.01 	0.01 	-0.10 	0.28 	-0.27 	0.88 	-0.86 	0.68 	-0.68 	0.19 	-0.18 	0.00 	0.00 	-1.80 	1.75 	-1.55 	-1.74 	1.24 	-1.25 	-0.09 	0.73 	0.08 	-0.08 	-0.24 	0.75 	0.12 	-0.02 	0.12 	-0.12 	0.12 	-0.12 	0.05 	-0.05 	-0.08 	-0.43 	0.23 	-0.23 	6.03 	0.00 	
1 	2.7 	 2.8 	42440.67945 	0.40 	0.14 	-0.67 	-0.28 	5.81 	-6.00 	-1.30 	1.09 	0.01 	-0.00 	0.25 	-0.28 	-0.23 	0.22 	0.32 	-0.38 	3.87 	-4.02 	1.64 	-1.81 	0.01 	0.01 	0.01 	0.01 	0.61 	-0.50 	-1.46 	1.64 	0.27 	-0.27 	3.94 	-4.09 	1.06 	-1.24 	-4.56 	4.43 	0.01 	0.00 	0.01 	0.01 	12.10 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.95 	-1.09 	-0.01 	0.01 	-0.10 	0.28 	-0.27 	0.82 	-0.89 	0.64 	-0.75 	0.19 	-0.23 	0.00 	0.00 	-2.09 	1.91 	-1.69 	-1.84 	1.31 	-1.27 	-0.09 	0.77 	0.09 	-0.09 	-0.24 	0.75 	0.13 	-0.02 	0.12 	-0.12 	0.11 	-0.11 	0.05 	-0.05 	-0.07 	-0.27 	0.23 	-0.23 	7.89 	0.00 	
1 	2.8 	 2.9 	37080.71887 	0.42 	0.13 	-0.67 	-0.29 	5.85 	-6.15 	-1.34 	1.27 	0.01 	-0.00 	0.25 	-0.28 	-0.23 	0.22 	0.32 	-0.38 	4.09 	-4.47 	1.60 	-1.76 	0.01 	0.01 	0.01 	0.01 	0.61 	-0.50 	-1.55 	1.55 	0.27 	-0.27 	3.90 	-4.17 	1.06 	-1.18 	-4.92 	4.66 	0.01 	0.00 	0.01 	0.01 	12.54 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.89 	-1.12 	-0.01 	0.01 	-0.10 	0.24 	-0.27 	0.75 	-0.90 	0.64 	-0.77 	0.19 	-0.23 	0.00 	0.00 	-1.88 	1.70 	-1.64 	-1.71 	1.58 	-1.52 	-0.09 	0.77 	0.09 	-0.09 	-0.24 	0.80 	0.12 	-0.02 	0.08 	-0.08 	0.11 	-0.11 	0.05 	-0.05 	-0.07 	-0.46 	0.22 	-0.22 	5.93 	0.00 	
1 	2.9 	 3.0 	34255.37174 	0.42 	0.13 	-0.66 	-0.31 	5.39 	-6.70 	-1.33 	1.09 	0.01 	-0.00 	0.25 	-0.28 	-0.23 	0.22 	0.32 	-0.38 	4.05 	-4.91 	1.63 	-2.00 	0.01 	0.01 	0.01 	0.01 	0.92 	-1.04 	-1.33 	1.08 	0.27 	-0.34 	3.75 	-4.53 	1.04 	-1.23 	-5.94 	4.67 	0.01 	0.00 	0.01 	0.01 	12.50 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.87 	-1.16 	-0.01 	0.01 	-0.10 	0.24 	-0.26 	0.74 	-0.97 	0.63 	-0.80 	0.19 	-0.23 	0.00 	0.00 	-2.00 	1.61 	-1.87 	-1.62 	1.75 	-1.69 	-0.09 	0.77 	0.09 	-0.09 	-0.24 	0.53 	0.12 	-0.02 	0.08 	-0.08 	0.10 	-0.10 	0.04 	-0.04 	-0.06 	-0.45 	0.21 	-0.21 	4.80 	0.00 	
1 	3.0 	 3.1 	31348.21008 	0.44 	0.14 	-0.76 	-0.31 	6.18 	-6.51 	-1.40 	1.24 	0.01 	-0.00 	0.25 	-0.27 	-0.23 	0.22 	0.40 	-0.38 	4.75 	-5.13 	1.86 	-1.99 	0.01 	0.01 	0.01 	0.01 	0.73 	-0.82 	-1.60 	1.53 	0.32 	-0.34 	4.02 	-4.30 	1.09 	-1.33 	-6.03 	5.74 	0.01 	0.00 	0.01 	0.01 	14.08 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.96 	-0.98 	-0.01 	0.01 	-0.10 	0.24 	-0.26 	0.84 	-0.89 	0.63 	-0.67 	0.19 	-0.23 	0.00 	0.00 	-2.00 	1.91 	-1.65 	-1.74 	1.29 	-1.25 	-0.09 	0.79 	0.09 	-0.09 	-0.24 	0.53 	0.13 	-0.02 	0.08 	-0.08 	0.09 	-0.10 	0.04 	-0.04 	-0.05 	-0.32 	0.21 	-0.21 	6.81 	0.00 	
1 	3.1 	 3.2 	27220.91999 	0.44 	0.13 	-0.85 	-0.28 	6.32 	-6.69 	-1.26 	1.34 	0.01 	-0.00 	0.36 	-0.27 	-0.23 	0.22 	0.40 	-0.37 	5.43 	-5.56 	2.02 	-1.94 	0.01 	0.01 	0.01 	0.01 	0.88 	-0.55 	-0.84 	1.52 	0.32 	-0.34 	4.26 	-4.26 	1.26 	-1.21 	-6.76 	6.52 	0.01 	0.00 	0.01 	0.01 	13.69 	-0.17 	0.17 	-0.10 	0.11 	-0.14 	0.14 	0.01 	0.01 	-0.15 	0.15 	0.07 	-0.07 	0.95 	-0.98 	-0.01 	0.01 	-0.10 	0.24 	-0.26 	0.92 	-0.79 	0.68 	-0.67 	0.19 	-0.23 	0.00 	0.00 	-1.97 	2.02 	-1.63 	-1.99 	1.74 	-1.73 	-0.09 	0.75 	0.09 	-0.09 	-0.24 	1.00 	0.11 	-0.02 	0.13 	-0.13 	0.09 	-0.09 	0.04 	-0.04 	-0.05 	-0.38 	0.22 	-0.22 	2.58 	0.00 	
